"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2015";547,41;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2016";306,23;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2017";387,48;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2018";564,67;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2019";554,31;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2020";492,90;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2021";465,56;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2022";504,68;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2023";821,38;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2002";118;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2003";158;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2004";179;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2005";204;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2006";265,73;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2007";308,69;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2008";315,15;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2009";568,15;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2010";372,33;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2011";399,47;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2012";467,96;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2013";637,94;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2014";830,13;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2015";658,01;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2016";320,37;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2017";363,67;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2018";428,10;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2019";472,38;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2020";604,73;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2021";619,90;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2022";676,77;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2023";767,87;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2002";116;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2003";119;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2004";132;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2005";173;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2006";227,42;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2007";233,97;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2008";283,89;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2009";553,15;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2010";326,29;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2011";392,18;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2012";328,46;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2013";400,11;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2014";353,63;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2015";299,42;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2016";273,61;"zł";"";
